Frage,Richtung,Start,Ende,Länge,Pfeil_Zelle_Y,Pfeil_Zelle_X,Pfeiltyp
ein tv- sender,V,Y:0 X:2,Y:2 X:2,3,0,2,arrow_LEFT_DOWN_no_number
französisches kugelspiel,V,Y:0 X:4,Y:4 X:4,5,0,4,arrow_LEFT_DOWN_no_number
buch der bibel,V,Y:0 X:7,Y:3 X:7,4,0,7,arrow_LEFT_DOWN_no_number
griechische unheilsgöttin,V,Y:0 X:10,Y:2 X:10,3,0,10,arrow_LEFT_DOWN_no_number
sternforscher,H,Y:1 X:0,Y:1 X:7,8,1,0,arrow_DOWN_RIGHT_no_number
dauerhaft niederlassen,V,Y:1 X:1,Y:7 X:1,7,1,1,arrow_DOWN_DOWN_no_number
scheinakazie,V,Y:1 X:3,Y:7 X:3,7,1,3,arrow_DOWN_DOWN_no_number
könig der elfen,V,Y:1 X:6,Y:6 X:6,6,1,6,arrow_DOWN_DOWN_no_number
tanzfigur der quadrille,H,Y:1 X:9,Y:1 X:11,3,1,9,arrow_combo_RIGHT_DOWN_no_number
stockwerk,V,Y:1 X:9,Y:5 X:9,5,1,9,arrow_combo_RIGHT_DOWN_no_number
gewiefter mensch franz.,H,Y:2 X:0,Y:2 X:4,5,2,0,arrow_UP_RIGHT_no_number
stoffzierband,H,Y:2 X:6,Y:2 X:10,5,2,6,arrow_RIGHT_RIGHT_no_number
langsamer tanz im 44-takt,H,Y:3 X:3,Y:3 X:7,5,3,3,arrow_RIGHT_RIGHT_no_number
betagt,V,Y:3 X:11,Y:5 X:11,3,3,11,arrow_DOWN_DOWN_no_number
vorname von filmstar murphy,H,Y:4 X:0,Y:4 X:4,5,4,0,arrow_UP_RIGHT_no_number
schnell beweglich,H,Y:4 X:8,Y:4 X:11,4,4,8,arrow_combo_RIGHT_DOWN_no_number
hohe spielkarten,V,Y:4 X:8,Y:7 X:8,4,4,8,arrow_combo_RIGHT_DOWN_no_number
mittelmeeranrainer,V,Y:4 X:10,Y:10 X:10,7,4,10,arrow_DOWN_DOWN_no_number
schnürmieder,H,Y:5 X:5,Y:5 X:11,7,5,5,arrow_combo_RIGHT_DOWN_no_number
trockene backwaren,V,Y:5 X:5,Y:9 X:5,5,5,5,arrow_combo_RIGHT_DOWN_no_number
borgen,H,Y:6 X:1,Y:6 X:6,6,6,1,arrow_RIGHT_RIGHT_with_number
skandal,V,Y:6 X:2,Y:10 X:2,5,6,2,arrow_DOWN_DOWN_no_number
froschlurch,H,Y:7 X:0,Y:7 X:3,4,7,0,arrow_UP_RIGHT_no_number
kurze zeitspanne,H,Y:7 X:7,Y:7 X:11,5,7,7,arrow_combo_RIGHT_DOWN_no_number
nordamerik. hirschart,V,Y:7 X:7,Y:12 X:7,6,7,7,arrow_combo_RIGHT_DOWN_no_number
zeitungsanzeigen,V,Y:7 X:9,Y:14 X:9,8,7,9,arrow_DOWN_DOWN_no_number
fluss in england,V,Y:7 X:11,Y:9 X:11,3,7,11,arrow_DOWN_DOWN_no_number
studentenausschuss,H,Y:8 X:4,Y:8 X:7,4,8,4,arrow_combo_RIGHT_DOWN_no_number
gedächtnisverlust,V,Y:8 X:4,Y:14 X:4,7,8,4,arrow_combo_RIGHT_DOWN_no_number
ugs.: nichts,H,Y:8 X:9,Y:8 X:11,3,8,9,arrow_RIGHT_RIGHT_no_number
tropenbaum,H,Y:9 X:1,Y:9 X:5,5,9,1,arrow_combo_RIGHT_DOWN_no_number
belohnungen,V,Y:9 X:1,Y:14 X:1,6,9,1,arrow_combo_RIGHT_DOWN_no_number
binnengewässer,H,Y:9 X:9,Y:9 X:11,3,9,9,arrow_RIGHT_RIGHT_no_number
"platz, stelle",H,Y:10 X:0,Y:10 X:2,3,10,0,arrow_UP_RIGHT_no_number
besitz,H,Y:10 X:6,Y:10 X:10,5,10,6,arrow_combo_RIGHT_DOWN_no_number
könig von sardinien,V,Y:10 X:6,Y:14 X:6,5,10,6,arrow_combo_RIGHT_DOWN_no_number
gesichtshautfarbe,H,Y:11 X:3,Y:11 X:7,5,11,3,arrow_combo_RIGHT_DOWN_no_number
vorname eulenspiegels,V,Y:11 X:3,Y:14 X:3,4,11,3,arrow_combo_RIGHT_DOWN_no_number
weibl. märchengestalten,V,Y:11 X:11,Y:14 X:11,4,11,11,arrow_DOWN_DOWN_with_number
afrik. schreitvogel,H,Y:12 X:1,Y:12 X:4,4,12,1,arrow_RIGHT_RIGHT_no_number
"ein insekt, zirpe",H,Y:12 X:6,Y:12 X:11,6,12,6,arrow_RIGHT_RIGHT_no_number
kfz-abgasentgifter kw.,V,Y:12 X:8,Y:14 X:8,3,12,8,arrow_DOWN_DOWN_no_number
ein tongeschlecht,V,Y:12 X:10,Y:14 X:10,3,12,10,arrow_DOWN_DOWN_no_number
frauenkurzname,H,Y:13 X:3,Y:13 X:6,4,13,3,arrow_RIGHT_RIGHT_no_number
ehem. einheit für den druck,H,Y:13 X:8,Y:13 X:11,4,13,8,arrow_RIGHT_RIGHT_no_number
schlagwaffe,H,Y:14 X:0,Y:14 X:4,5,14,0,arrow_DOWN_RIGHT_no_number
fest der auferstehung,H,Y:14 X:6,Y:14 X:11,6,14,6,arrow_RIGHT_RIGHT_no_number
